2026-09-02 00:52:08.056 | INFO     | __main__:main:98 - Rust extension (et_miner_rust): OK
2026-09-02 00:52:08.056 | INFO     | __main__:main:110 - GPUs available: 2 (validating row-split with n_gpus=2)
2026-09-02 00:52:08.056 | INFO     | __main__:main:112 - Loading first 100,000 transactions from /root/projects/ET-Miner/runs/20260902T0000Z/phase2/smoke_2026_01/transactions_214m_base_multi.parquet...
2026-09-02 00:52:08.071 | INFO     | __main__:main:124 - Subset: 100,000 transactions | min_count=20 → min_support=2.000e-04
2026-09-02 00:52:08.071 | INFO     | __main__:main:130 - Mining single-GPU (n_gpus=1) — reference truth...
2026-09-02 00:52:08.072 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:501 - Direct CSR path: 100,000 transactions, min_count=20
2026-09-02 00:52:08.078 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:524 - Direct CSR path: 1002 frequent items
2026-09-02 00:52:08.084 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:548 - Direct CSR path: 410,311 non-zeros
2026-09-02 00:52:08.281 | INFO     | et_miner.gpu.mining:_apriori_from_bitvecs:520 - APRIORI BITVEC: 1002 cols, 100,000 txns, min_support=0.00020000 (min_count=20), max_length=1002
2026-09-02 00:52:08.308 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=1: candidates=1,002 → frequent=1,002 (0.0s) | cumulative=1,002 | RAM=0.5GB VRAM=0.0GB
/root/projects/ET-Miner/applications/alphafold/experiments/validate_row_split.py:132: UserWarning: 100% of items are frequent (min_count=20). Mining may produce combinatorially explosive results. Consider raising min_support.
  ref = apriori(df, min_support=min_support, use_gpu=True, max_length=None, n_gpus=1)
2026-09-02 00:52:08.323 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=2: candidates=501,501 → frequent=6,422 (0.0s) | cumulative=7,424 | RAM=0.5GB VRAM=0.0GB
2026-09-02 00:52:08.685 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=3: candidates=683,793 → frequent=13,729 (0.4s) | cumulative=21,153 | RAM=0.6GB VRAM=0.0GB
2026-09-02 00:52:08.688 | DEBUG    | et_miner.gpu.mining:_deallocate_dead_bitvecs:46 -     Pruning: zeroed 34 dead bitvecs at K=3 (0 MB logical)
2026-09-02 00:52:08.789 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=4: candidates=111,604 → frequent=17,345 (0.1s) | cumulative=38,498 | RAM=0.6GB VRAM=0.0GB
2026-09-02 00:52:08.792 | DEBUG    | et_miner.gpu.mining:_deallocate_dead_bitvecs:46 -     Pruning: zeroed 62 dead bitvecs at K=4 (1 MB logical)
2026-09-02 00:52:08.873 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=5: candidates=31,110 → frequent=16,442 (0.1s) | cumulative=54,940 | RAM=0.6GB VRAM=0.0GB
2026-09-02 00:52:08.876 | DEBUG    | et_miner.gpu.mining:_deallocate_dead_bitvecs:46 -     Pruning: zeroed 80 dead bitvecs at K=5 (1 MB logical)
2026-09-02 00:52:08.989 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=6: candidates=14,889 → frequent=12,864 (0.1s) | cumulative=67,804 | RAM=0.6GB VRAM=0.0GB
2026-09-02 00:52:08.991 | DEBUG    | et_miner.gpu.mining:_deallocate_dead_bitvecs:46 -     Pruning: zeroed 172 dead bitvecs at K=6 (2 MB logical)
2026-09-02 00:52:09.093 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=7: candidates=8,979 → frequent=8,723 (0.1s) | cumulative=76,527 | RAM=0.6GB VRAM=0.0GB
2026-09-02 00:52:09.096 | DEBUG    | et_miner.gpu.mining:_deallocate_dead_bitvecs:46 -     Pruning: zeroed 171 dead bitvecs at K=7 (2 MB logical)
2026-09-02 00:52:09.125 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=8: candidates=5,239 → frequent=5,218 (0.0s) | cumulative=81,745 | RAM=0.6GB VRAM=0.0GB
2026-09-02 00:52:09.127 | DEBUG    | et_miner.gpu.mining:_deallocate_dead_bitvecs:46 -     Pruning: zeroed 160 dead bitvecs at K=8 (2 MB logical)
2026-09-02 00:52:09.145 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=9: candidates=2,713 → frequent=2,712 (0.0s) | cumulative=84,457 | RAM=0.6GB VRAM=0.0GB
2026-09-02 00:52:09.146 | DEBUG    | et_miner.gpu.mining:_deallocate_dead_bitvecs:46 -     Pruning: zeroed 121 dead bitvecs at K=9 (1 MB logical)
2026-09-02 00:52:09.198 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=10: candidates=1,168 → frequent=1,168 (0.1s) | cumulative=85,625 | RAM=0.6GB VRAM=0.0GB
2026-09-02 00:52:09.198 | DEBUG    | et_miner.gpu.mining:_deallocate_dead_bitvecs:46 -     Pruning: zeroed 88 dead bitvecs at K=10 (1 MB logical)
2026-09-02 00:52:09.202 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=11: candidates=390 → frequent=390 (0.0s) | cumulative=86,015 | RAM=0.6GB VRAM=0.0GB
2026-09-02 00:52:09.203 | DEBUG    | et_miner.gpu.mining:_deallocate_dead_bitvecs:46 -     Pruning: zeroed 62 dead bitvecs at K=11 (1 MB logical)
2026-09-02 00:52:09.205 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=12: candidates=93 → frequent=93 (0.0s) | cumulative=86,108 | RAM=0.6GB VRAM=0.0GB
2026-09-02 00:52:09.205 | DEBUG    | et_miner.gpu.mining:_deallocate_dead_bitvecs:46 -     Pruning: zeroed 26 dead bitvecs at K=12 (0 MB logical)
2026-09-02 00:52:09.206 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=13: candidates=14 → frequent=14 (0.0s) | cumulative=86,122 | RAM=0.6GB VRAM=0.0GB
2026-09-02 00:52:09.206 | DEBUG    | et_miner.gpu.mining:_deallocate_dead_bitvecs:46 -     Pruning: zeroed 12 dead bitvecs at K=13 (0 MB logical)
2026-09-02 00:52:09.207 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=14: candidates=1 → frequent=1 (0.0s) | cumulative=86,123 | RAM=0.6GB VRAM=0.0GB
2026-09-02 00:52:09.207 | INFO     | et_miner.gpu.mining:_apriori_from_bitvecs:770 -   Mining complete: K=14 reached max_length=1002. Total: 86,123 itemsets in 0.9s
2026-09-02 00:52:09.830 | INFO     | __main__:main:133 -   86,123 itemsets in 1.8s
2026-09-02 00:52:09.831 | INFO     | __main__:main:136 - Mining row-split (n_gpus=2) — via _apriori_row_split_multi_gpu...
2026-09-02 00:52:09.831 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:501 - Direct CSR path: 100,000 transactions, min_count=20
2026-09-02 00:52:09.836 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:524 - Direct CSR path: 1002 frequent items
2026-09-02 00:52:09.844 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:548 - Direct CSR path: 410,311 non-zeros
2026-09-02 00:52:09.865 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:127 -   Row-split multi-GPU: 2 GPUs, min_count=20 (GPU-resident dense counting)
2026-09-02 00:52:09.866 | DEBUG    | et_miner.gpu.csr_bitvec:_build_shard:508 -   [GPU 0] Building bitvec: 50,000 rows, 204,890 nnz, ~0.0 GB (rows-balanced)
2026-09-02 00:52:09.866 | DEBUG    | et_miner.gpu.csr_bitvec:_build_shard:508 -   [GPU 1] Building bitvec: 50,000 rows, 205,421 nnz, ~0.0 GB (rows-balanced)
2026-09-02 00:52:09.873 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:137 -   Bitvec build: 0.0s across 2 GPUs
2026-09-02 00:52:10.233 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:170 -   NCCL: 2 communicators (ring all-reduce)
2026-09-02 00:52:10.262 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:318 -   K=1: 1,002 frequent items in 0.0s
2026-09-02 00:52:10.265 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:453 -   K=2: 501,501 total pairs, 1 chunk(s), dense output 0.00 GB/GPU per chunk
2026-09-02 00:52:10.336 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=2 chunk 1/1 filtering: 501,501 candidates → 6,422 frequent (1.3% pass rate, min_count=20)
2026-09-02 00:52:10.337 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:599 -   K=2: 6,422 frequent in 0.1s
2026-09-02 00:52:10.339 | DEBUG    | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:535 -   K=3: 683,793 candidates, 66 chunk(s), group data 0.0 GB, budget 3,962,561,597 cands/chunk
2026-09-02 00:52:10.340 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 1/66: candidates [0, 587,041)
2026-09-02 00:52:10.359 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 1/66 filtering: 587,041 candidates → 5,841 frequent (1.0% pass rate, min_count=20)
2026-09-02 00:52:10.359 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 2/66: candidates [587,041, 587,048) (legacy sub-chunk)
2026-09-02 00:52:10.363 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 2/66 filtering: 7 candidates → 6 frequent (85.7% pass rate, min_count=20)
2026-09-02 00:52:10.363 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 3/66: candidates [587,048, 587,673)
2026-09-02 00:52:10.365 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 3/66 filtering: 625 candidates → 143 frequent (22.9% pass rate, min_count=20)
2026-09-02 00:52:10.365 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 4/66: candidates [587,673, 587,724) (legacy sub-chunk)
2026-09-02 00:52:10.367 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 4/66 filtering: 51 candidates → 18 frequent (35.3% pass rate, min_count=20)
