2026-09-02 13:01:06.446 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:501 - Direct CSR path: 2,000,000 transactions, min_count=30
2026-09-02 13:01:06.876 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:524 - Direct CSR path: 35000 frequent items
2026-09-02 13:01:07.463 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:548 - Direct CSR path: 47,473,315 non-zeros
2026-09-02 13:01:09.213 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:127 -   Row-split multi-GPU: 2 GPUs, min_count=30 (GPU-resident dense counting)
2026-09-02 13:01:09.269 | DEBUG    | et_miner.gpu.csr_bitvec:_build_shard:508 -   [GPU 0] Building bitvec: 1,000,000 rows, 23,730,984 nnz, ~4.4 GB (rows-balanced)
2026-09-02 13:01:09.270 | DEBUG    | et_miner.gpu.csr_bitvec:_build_shard:508 -   [GPU 1] Building bitvec: 1,000,000 rows, 23,742,331 nnz, ~4.4 GB (rows-balanced)
2026-09-02 13:01:09.808 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:137 -   Bitvec build: 0.6s across 2 GPUs
2026-09-02 13:01:10.165 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:170 -   NCCL: 2 communicators (ring all-reduce)
2026-09-02 13:01:10.233 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:318 -   K=1: 35,000 frequent items in 0.1s
2026-09-02 13:01:10.250 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:453 -   K=2: 612,482,500 total pairs, 1 chunk(s), dense output 2.28 GB/GPU per chunk
2026-09-02 13:02:36.764 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=2 chunk 1/1 filtering: 612,482,500 candidates → 1,660,332 frequent (0.3% pass rate, min_count=30)
2026-09-02 13:02:36.807 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:599 -   K=2: 1,660,332 frequent in 86.6s
2026-09-02 13:02:36.955 | DEBUG    | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:535 -   K=3: 11,796,796,856 candidates, 25 chunk(s), group data 0.0 GB, budget 3,234,095,966 cands/chunk
2026-09-02 13:02:36.961 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 1/25: candidates [0, 3,061,677,586)
2026-09-02 13:10:54.380 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 1/25 filtering: 3,061,677,586 candidates → 973,206 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:10:54.382 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 2/25: candidates [3,061,677,586, 5,913,680,903)
2026-09-02 13:18:36.939 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 2/25 filtering: 2,852,003,317 candidates → 181,831 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:18:36.940 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 3/25: candidates [5,913,680,903, 9,055,311,651)
2026-09-02 13:27:04.666 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 3/25 filtering: 3,141,630,748 candidates → 124,119 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:27:04.667 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 4/25: candidates [9,055,311,651, 11,796,793,579)
2026-09-02 13:34:27.551 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 4/25 filtering: 2,741,481,928 candidates → 31,282 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:34:27.552 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 5/25: candidates [11,796,793,579, 11,796,793,634) (legacy sub-chunk)
2026-09-02 13:34:27.554 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 5/25 filtering: 55 candidates → 0 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:34:27.554 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 6/25: candidates [11,796,793,634, 11,796,794,102)
2026-09-02 13:34:27.555 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 6/25 filtering: 468 candidates → 0 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:34:27.555 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 7/25: candidates [11,796,794,102, 11,796,794,130) (legacy sub-chunk)
2026-09-02 13:34:27.557 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 7/25 filtering: 28 candidates → 0 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:34:27.557 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 8/25: candidates [11,796,794,130, 11,796,794,666)
2026-09-02 13:34:27.559 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 8/25 filtering: 536 candidates → 0 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:34:27.559 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 9/25: candidates [11,796,794,666, 11,796,794,711) (legacy sub-chunk)
2026-09-02 13:34:27.560 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 9/25 filtering: 45 candidates → 0 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:34:27.560 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 10/25: candidates [11,796,794,711, 11,796,794,894)
2026-09-02 13:34:27.562 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 10/25 filtering: 183 candidates → 0 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:34:27.562 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 11/25: candidates [11,796,794,894, 11,796,794,949) (legacy sub-chunk)
2026-09-02 13:34:27.563 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 11/25 filtering: 55 candidates → 0 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:34:27.563 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 12/25: candidates [11,796,794,949, 11,796,795,085)
2026-09-02 13:34:27.565 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 12/25 filtering: 136 candidates → 0 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:34:27.565 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 13/25: candidates [11,796,795,085, 11,796,795,204) (legacy sub-chunk)
2026-09-02 13:34:27.566 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 13/25 filtering: 119 candidates → 0 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:34:27.566 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 14/25: candidates [11,796,795,204, 11,796,795,360)
2026-09-02 13:34:27.567 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 14/25 filtering: 156 candidates → 0 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:34:27.567 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 15/25: candidates [11,796,795,360, 11,796,795,415) (legacy sub-chunk)
2026-09-02 13:34:27.569 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 15/25 filtering: 55 candidates → 0 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:34:27.569 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 16/25: candidates [11,796,795,415, 11,796,795,481)
2026-09-02 13:34:27.571 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 16/25 filtering: 66 candidates → 0 frequent (0.0% pass rate, min_count=30)
2026-09-02 13:34:27.571 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 17/25: candidates [11,796,795,481, 11,796,795,526) (legacy sub-chunk)
2026-09-02 13:34:27.572 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 17/25 filtering: 45 candidates → 0 frequent (0.0% pass rate, min_count=30)
