timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/02 18:42:49.776, 0, 0 %, 0 MiB
2026/09/02 18:42:49.782, 1, 0 %, 0 MiB
2026/09/02 18:42:54.787, 0, 0 %, 3 MiB
2026/09/02 18:42:54.787, 1, 0 %, 0 MiB
2026/09/02 18:42:59.788, 0, 0 %, 3 MiB
2026/09/02 18:42:59.788, 1, 0 %, 0 MiB
2026/09/02 18:43:04.788, 0, 0 %, 3 MiB
2026/09/02 18:43:04.788, 1, 0 %, 0 MiB
2026/09/02 18:43:09.789, 0, 0 %, 3 MiB
2026/09/02 18:43:09.789, 1, 0 %, 0 MiB
2026/09/02 18:43:14.789, 0, 0 %, 3 MiB
2026/09/02 18:43:14.790, 1, 0 %, 0 MiB
2026/09/02 18:43:19.790, 0, 0 %, 3119 MiB
2026/09/02 18:43:19.790, 1, 0 %, 0 MiB
2026/09/02 18:43:24.791, 0, 0 %, 15357 MiB
2026/09/02 18:43:24.791, 1, 0 %, 0 MiB
2026/09/02 18:43:29.791, 0, 0 %, 15357 MiB
2026/09/02 18:43:29.791, 1, 0 %, 0 MiB
2026/09/02 18:43:34.792, 0, 0 %, 15357 MiB
2026/09/02 18:43:34.792, 1, 0 %, 0 MiB
2026/09/02 18:43:39.793, 0, 0 %, 15357 MiB
2026/09/02 18:43:39.793, 1, 0 %, 0 MiB
2026/09/02 18:43:44.793, 0, 0 %, 15357 MiB
2026/09/02 18:43:44.793, 1, 0 %, 0 MiB
2026/09/02 18:43:49.794, 0, 0 %, 15357 MiB
2026/09/02 18:43:49.794, 1, 0 %, 0 MiB
2026/09/02 18:43:54.795, 0, 0 %, 15357 MiB
2026/09/02 18:43:54.795, 1, 0 %, 0 MiB
2026/09/02 18:43:59.795, 0, 0 %, 15357 MiB
2026/09/02 18:43:59.796, 1, 0 %, 0 MiB
2026/09/02 18:44:04.796, 0, 100 %, 18667 MiB
2026/09/02 18:44:04.796, 1, 0 %, 0 MiB
2026/09/02 18:44:09.797, 0, 100 %, 18667 MiB
2026/09/02 18:44:09.797, 1, 0 %, 0 MiB
2026/09/02 18:44:14.798, 0, 100 %, 18667 MiB
2026/09/02 18:44:14.798, 1, 0 %, 0 MiB
2026/09/02 18:44:19.798, 0, 0 %, 18667 MiB
2026/09/02 18:44:19.799, 1, 0 %, 0 MiB
2026/09/02 18:44:24.799, 0, 0 %, 18667 MiB
2026/09/02 18:44:24.799, 1, 0 %, 0 MiB
2026/09/02 18:44:29.800, 0, 0 %, 18667 MiB
2026/09/02 18:44:29.800, 1, 0 %, 0 MiB
2026/09/02 18:44:34.800, 0, 0 %, 18667 MiB
2026/09/02 18:44:34.800, 1, 0 %, 0 MiB
2026/09/02 18:44:39.801, 0, 0 %, 18667 MiB
