timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/02 20:07:32.685, 0, 0 %, 0 MiB
2026/09/02 20:07:32.688, 1, 0 %, 0 MiB
2026/09/02 20:07:37.691, 0, 0 %, 3 MiB
2026/09/02 20:07:37.691, 1, 0 %, 0 MiB
2026/09/02 20:07:42.692, 0, 0 %, 3 MiB
2026/09/02 20:07:42.692, 1, 0 %, 0 MiB
2026/09/02 20:07:47.693, 0, 0 %, 3 MiB
2026/09/02 20:07:47.693, 1, 0 %, 0 MiB
2026/09/02 20:07:52.693, 0, 100 %, 21653 MiB
2026/09/02 20:07:52.693, 1, 0 %, 0 MiB
2026/09/02 20:07:57.694, 0, 100 %, 21653 MiB
2026/09/02 20:07:57.694, 1, 0 %, 0 MiB
2026/09/02 20:08:02.695, 0, 100 %, 21653 MiB
2026/09/02 20:08:02.695, 1, 0 %, 0 MiB
2026/09/02 20:08:07.695, 0, 100 %, 21653 MiB
2026/09/02 20:08:07.695, 1, 0 %, 0 MiB
2026/09/02 20:08:12.696, 0, 100 %, 21653 MiB
2026/09/02 20:08:12.696, 1, 0 %, 0 MiB
2026/09/02 20:08:17.697, 0, 100 %, 21653 MiB
2026/09/02 20:08:17.697, 1, 0 %, 0 MiB
2026/09/02 20:08:22.697, 0, 100 %, 21653 MiB
2026/09/02 20:08:22.697, 1, 0 %, 0 MiB
2026/09/02 20:08:27.698, 0, 100 %, 21653 MiB
2026/09/02 20:08:27.698, 1, 0 %, 0 MiB
2026/09/02 20:08:32.699, 0, 100 %, 21653 MiB
2026/09/02 20:08:32.699, 1, 0 %, 0 MiB
2026/09/02 20:08:37.699, 0, 0 %, 21653 MiB
2026/09/02 20:08:37.700, 1, 0 %, 0 MiB
2026/09/02 20:08:42.700, 0, 0 %, 21653 MiB
2026/09/02 20:08:42.700, 1, 0 %, 0 MiB
2026/09/02 20:08:47.701, 0, 0 %, 21653 MiB
2026/09/02 20:08:47.701, 1, 0 %, 0 MiB
2026/09/02 20:08:52.702, 0, 0 %, 21653 MiB
2026/09/02 20:08:52.703, 1, 0 %, 0 MiB
2026/09/02 20:08:57.703, 0, 0 %, 21653 MiB
2026/09/02 20:08:57.704, 1, 0 %, 0 MiB
2026/09/02 20:09:02.704, 0, 0 %, 21653 MiB
