2026-09-02 05:24:48.309 | INFO     | __main__:main:98 - Rust extension (et_miner_rust): OK
2026-09-02 05:24:48.310 | INFO     | __main__:main:110 - GPUs available: 2 (validating row-split with n_gpus=2)
2026-09-02 05:24:48.310 | INFO     | __main__:main:112 - Loading first 1,000,000 transactions from /root/projects/ET-Miner/runs/20260902T0000Z/phase2/extract_2026_01/transactions_214m_base_multi.parquet...
2026-09-02 05:24:48.343 | INFO     | __main__:main:124 - Subset: 1,000,000 transactions | min_count=50 → min_support=5.000e-05
2026-09-02 05:24:48.343 | INFO     | __main__:main:130 - Mining single-GPU (n_gpus=1) — reference truth...
2026-09-02 05:24:48.345 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:501 - Direct CSR path: 1,000,000 transactions, min_count=50
2026-09-02 05:24:48.360 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:524 - Direct CSR path: 1002 frequent items
2026-09-02 05:24:48.389 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:548 - Direct CSR path: 4,116,263 non-zeros
2026-09-02 05:24:48.858 | INFO     | et_miner.gpu.mining:_apriori_from_bitvecs:520 - APRIORI BITVEC: 1002 cols, 1,000,000 txns, min_support=0.00005000 (min_count=50), max_length=1002
2026-09-02 05:24:48.887 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=1: candidates=1,002 → frequent=1,002 (0.0s) | cumulative=1,002 | RAM=0.7GB VRAM=0.2GB
/root/projects/ET-Miner/applications/alphafold/experiments/validate_row_split.py:132: UserWarning: 100% of items are frequent (min_count=50). Mining may produce combinatorially explosive results. Consider raising min_support.
  ref = apriori(df, min_support=min_support, use_gpu=True, max_length=None, n_gpus=1)
2026-09-02 05:24:48.944 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=2: candidates=501,501 → frequent=12,255 (0.1s) | cumulative=13,257 | RAM=0.7GB VRAM=0.2GB
2026-09-02 05:24:49.560 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=3: candidates=1,264,452 → frequent=30,164 (0.6s) | cumulative=43,421 | RAM=0.8GB VRAM=0.2GB
2026-09-02 05:24:49.565 | DEBUG    | et_miner.gpu.mining:_deallocate_dead_bitvecs:46 -     Pruning: zeroed 4 dead bitvecs at K=3 (0 MB logical)
2026-09-02 05:24:50.007 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=4: candidates=500,999 → frequent=36,753 (0.4s) | cumulative=80,174 | RAM=0.8GB VRAM=0.2GB
2026-09-02 05:24:50.014 | DEBUG    | et_miner.gpu.mining:_deallocate_dead_bitvecs:46 -     Pruning: zeroed 33 dead bitvecs at K=4 (4 MB logical)
2026-09-02 05:24:50.281 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=5: candidates=118,924 → frequent=32,921 (0.3s) | cumulative=113,095 | RAM=0.8GB VRAM=0.2GB
2026-09-02 05:24:50.286 | DEBUG    | et_miner.gpu.mining:_deallocate_dead_bitvecs:46 -     Pruning: zeroed 84 dead bitvecs at K=5 (10 MB logical)
2026-09-02 05:24:50.492 | INFO     | et_miner.gpu.mining:_log_level:497 -   K=6: candidates=41,232 → frequent=24,562 (0.2s) | cumulative=137,657 | RAM=0.8GB VRAM=0.2GB
