claim_id,qkey,value,unit,category,file,line,quoted_context
L-001,meta_log_file_provenance,mtime 2026-09-01 22:47 UTC; size 2194 B; git-added 6f789d8 2026-08-31 22:39:15 +0000,timestamp,software,bench/results/2026-08-31-3090x2/env.txt,(file),"filesystem mtime = git checkout time, not original creation time"
L-002,meta_log_file_provenance,mtime 2026-09-01 22:47 UTC; size 3192 B; git-added 6f789d8 2026-08-31 22:39:15 +0000,timestamp,software,bench/results/2026-08-31-3090x2/report.md,(file),"filesystem mtime = git checkout time, not original creation time"
L-003,meta_log_file_provenance,mtime 2026-09-01 22:47 UTC; size 4634 B; git-added 6f789d8 2026-08-31 22:39:15 +0000 (follow-up note b1f147e),timestamp,software,bench/results/2026-08-31-3090x2/FINDINGS.md,(file),"filesystem mtime = git checkout time, not original creation time"
L-004,meta_log_file_provenance,mtime 2026-09-01 22:47 UTC; size 33942 B; git-added 6f789d8 2026-08-31 22:39:15 +0000,timestamp,software,bench/results/2026-08-31-3090x2/raw.jsonl,(file),"filesystem mtime = git checkout time, not original creation time"
L-005,meta_log_file_provenance,mtime 2026-09-01 22:47 UTC; size 2194 B; git-added b1f147e 2026-09-01 20:11:16 +0000,timestamp,software,bench/results/2026-09-01-3090x2-sparse/env.txt,(file),"filesystem mtime = git checkout time, not original creation time"
L-006,meta_log_file_provenance,mtime 2026-09-01 22:47 UTC; size 1551 B; git-added b1f147e 2026-09-01 20:11:16 +0000,timestamp,software,bench/results/2026-09-01-3090x2-sparse/report.md,(file),"filesystem mtime = git checkout time, not original creation time"
L-007,meta_log_file_provenance,mtime 2026-09-01 22:47 UTC; size 4375 B; git-added b1f147e 2026-09-01 20:11:16 +0000,timestamp,software,bench/results/2026-09-01-3090x2-sparse/FINDINGS.md,(file),"filesystem mtime = git checkout time, not original creation time"
L-008,meta_log_file_provenance,mtime 2026-09-01 22:47 UTC; size 18932 B; git-added b1f147e 2026-09-01 20:11:16 +0000,timestamp,software,bench/results/2026-09-01-3090x2-sparse/raw.jsonl,(file),"filesystem mtime = git checkout time, not original creation time"
L-009,meta_log_file_provenance,mtime 2026-09-01 22:48 UTC; size 1110 B; git-added 65d9098 2026-08-31 21:46:33 +0200 (Et9797),timestamp,software,applications/alphafold/results_214m/experiment_direct_vs_son_20260219_050326.json,(file),"filesystem mtime = git checkout time, not original creation time"
L-010,meta_log_file_provenance,mtime 2026-09-01 22:48 UTC; size 4676 B; git-added 65d9098 2026-08-31 21:46:33 +0200 (Et9797),timestamp,software,applications/alphafold/results_214m/experiment_null_model_20260219_061046.json,(file),"filesystem mtime = git checkout time, not original creation time"
L-011,meta_log_file_provenance,mtime 2026-09-01 22:48 UTC; size 4749057 B; git-added 65d9098 2026-08-31 21:46:33 +0200 (Et9797),timestamp,software,applications/alphafold/results_214m/decoded_top_k_patterns.txt,(file),"filesystem mtime = git checkout time, not original creation time"
L-012,meta_log_file_provenance,mtime 2026-09-01 22:48 UTC; size 17193 B; git-added 65d9098 2026-08-31 21:46:33 +0200 (Et9797),timestamp,software,applications/alphafold/results_214m/GLOSSARY.md,(file),"filesystem mtime = git checkout time, not original creation time"
L-013,meta_log_file_provenance,mtime 2026-09-01 22:48 UTC; size 111866 B; git-added 65d9098 2026-08-31 21:46:33 +0200 (Et9797),timestamp,software,applications/alphafold/experiments/analysis_alpha_centauri.ipynb,(file),"filesystem mtime = git checkout time, not original creation time"
L-014,meta_log_file_provenance,mtime 2026-09-01 22:48 UTC; size 7790 B; git-added 65d9098 2026-08-31 21:46:33 +0200 (Et9797),timestamp,software,applications/alphafold/deploy/RUNBOOK_base214m.md,(file),"filesystem mtime = git checkout time, not original creation time"
L-015,meta_log_bench_0831_git_sha,5a8e59f8493622f623eae97daed02d460ec80389,git sha,software,bench/results/2026-08-31-3090x2/env.txt,2,$ git rev-parse HEAD → 5a8e59f8493622f623eae97daed02d460ec80389
L-016,meta_log_bench_0831_nvidia_smi_timestamp,Mon Aug 31 20:52:51 2026,timestamp,hardware-dependent,bench/results/2026-08-31-3090x2/env.txt,6,nvidia-smi banner: Mon Aug 31 20:52:51 2026
L-017,sw_bench_driver_version,580.159.03,driver version,software,bench/results/2026-08-31-3090x2/env.txt,8,NVIDIA-SMI 580.159.03 Driver Version: 580.159.03 CUDA Version: 13.0
L-018,sw_bench_cuda_version,13.0,CUDA version,software,bench/results/2026-08-31-3090x2/env.txt,8,CUDA Version: 13.0
L-019,hw_bench_gpu_model,"NVIDIA GeForce RTX 3090 (GPU 0, bus 01:00.0)",GPU model,hardware-dependent,bench/results/2026-08-31-3090x2/env.txt,14,0  NVIDIA GeForce RTX 3090  On  00000000:01:00.0 Off
L-020,hw_bench_gpu_vram_mib,24576,MiB VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/env.txt,15,1MiB / 24576MiB
L-021,hw_bench_gpu_power_cap_w,360,W power cap,hardware-dependent,bench/results/2026-08-31-3090x2/env.txt,15,123W / 360W
L-022,hw_bench_gpu_model,"NVIDIA GeForce RTX 3090 (GPU 1, bus 82:00.0)",GPU model,hardware-dependent,bench/results/2026-08-31-3090x2/env.txt,18,1  NVIDIA GeForce RTX 3090  On  00000000:82:00.0 Off
L-023,hw_bench_gpu_vram_mib,24576,MiB VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/env.txt,19,1MiB / 24576MiB
L-024,meta_log_bench_pip_freeze_empty,(no output captured),—,software,bench/results/2026-08-31-3090x2/env.txt,32,$ /root/projects/ET-Miner/.venv/bin/python3 -m pip freeze — section is empty in file
L-025,bench_campaign_0831_runs_status,28 ok / 0 failed,runs,deterministic,bench/results/2026-08-31-3090x2/report.md,3,"Runs: 28 ok, 0 failed/timeout."
L-026,bench_deep_k_density_auto_wall_s,10.4,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,9,deepk-density-auto | deep_k | legacy | compact | 2 | 1 | 10.4 | 10.4 | 416
L-027,bench_deep_k_density_auto_wall_s,10.4,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,9,deepk-density-auto: min s 10.4
L-028,bench_deep_k_density_auto_peak_vram_mb,416,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,9,deepk-density-auto: peak VRAM MB 416; throttled no
L-029,bench_deep_k_density_auto_params,gpus=2; reps=1; variant=legacy; filter=compact; preset=deep_k,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,9,deepk-density-auto | deep_k | legacy | compact | 2 | 1
