claim_id,qkey,value,unit,category,file,line,quoted_context
L2-001,run_ultra_support_pct,0.00002,% support (nominal),method-parameter,beyond_mining.log,2,>>> BEYOND MADMAN — 0.00002% SUPPORT
L2-002,run_ultra_min_count_nominal,~15,min proteins (nominal),method-parameter,beyond_mining.log,3,>>> Min proteins: ~15
L2-003,run_ultra_max_length,25,max K (max_length),method-parameter,beyond_mining.log,4,>>> Max K: 25
L2-004,dataset_multi_feature,"76,890,945",transactions with >1 item,deterministic,beyond_mining.log,6,"Transactions with >1 item: 76,890,945"
L2-005,run_ultra_min_count_nominal,15,min support count (script-computed),method-parameter,beyond_mining.log,7,Min support count: 15 proteins
L2-006,meta_log_ultra_start_timestamp,"2026-02-09 06:05:03,735","timestamp (run start, Direct CSR path)",external-fact,beyond_mining.log,8,"2026-02-09 06:05:03,735 Direct CSR path: 76,890,945 transactions, min_count=16"
L2-007,dataset_multi_feature,"76,890,945",transactions,deterministic,beyond_mining.log,8,"2026-02-09 06:05:03,735 Direct CSR path: 76,890,945 transactions, min_count=16"
L2-008,run_ultra_min_count,16,min_count,method-parameter,beyond_mining.log,8,"2026-02-09 06:05:03,735 Direct CSR path: 76,890,945 transactions, min_count=16"
L2-009,vocab_items_frequent,1002,frequent items (K=1),deterministic,beyond_mining.log,9,"2026-02-09 06:05:04,142 Direct CSR path: 1002 frequent items"
L2-010,csr_nnz,"316,421,093",non-zeros (CSR nnz),deterministic,beyond_mining.log,10,"2026-02-09 06:05:04,902 Direct CSR path: 316,421,093 non-zeros"
L2-011,kdist_ultra_k1_count,"1,002",frequent itemsets K=1,deterministic,beyond_mining.log,11,"[per-K] K=1: 1,002 candidates -> 1,002 frequent (80ms)"
L2-012,kdist_ultra_k2_count,"60,088",frequent itemsets K=2,deterministic,beyond_mining.log,12,"[per-K] K=2: 501,501 candidates -> 60,088 frequent (1956ms)"
L2-013,kdist_ultra_k3_count,"356,691",frequent itemsets K=3,deterministic,beyond_mining.log,13,"[per-K] K=3: 0 candidates -> 356,691 frequent (26394ms)"
L2-014,kdist_ultra_k4_count,"894,903",frequent itemsets K=4,deterministic,beyond_mining.log,14,"[per-K] K=4: 0 candidates -> 894,903 frequent (26926ms)"
L2-015,kdist_ultra_k5_count,"1,421,780",frequent itemsets K=5,deterministic,beyond_mining.log,15,"[per-K] K=5: 0 candidates -> 1,421,780 frequent (23562ms)"
L2-016,kdist_ultra_k6_count,"1,794,852",frequent itemsets K=6,deterministic,beyond_mining.log,16,"[per-K] K=6: 0 candidates -> 1,794,852 frequent (14865ms)"
L2-017,kdist_ultra_k7_count,"2,006,312",frequent itemsets K=7,deterministic,beyond_mining.log,17,"[per-K] K=7: 0 candidates -> 2,006,312 frequent (9909ms)"
L2-018,kdist_ultra_k8_count,"2,053,858",frequent itemsets K=8,deterministic,beyond_mining.log,18,"[per-K] K=8: 0 candidates -> 2,053,858 frequent (8260ms)"
L2-019,kdist_ultra_k9_count,"1,912,672",frequent itemsets K=9,deterministic,beyond_mining.log,19,"[per-K] K=9: 0 candidates -> 1,912,672 frequent (7559ms)"
L2-020,kdist_ultra_k10_count,"1,587,145",frequent itemsets K=10,deterministic,beyond_mining.log,20,"[per-K] K=10: 0 candidates -> 1,587,145 frequent (6937ms)"
L2-021,kdist_ultra_k11_count,"1,148,998",frequent itemsets K=11,deterministic,beyond_mining.log,21,"[per-K] K=11: 0 candidates -> 1,148,998 frequent (6317ms)"
L2-022,kdist_ultra_k12_count,"712,433",frequent itemsets K=12,deterministic,beyond_mining.log,22,"[per-K] K=12: 0 candidates -> 712,433 frequent (5460ms)"
L2-023,kdist_ultra_k13_count,"371,981",frequent itemsets K=13,deterministic,beyond_mining.log,23,"[per-K] K=13: 0 candidates -> 371,981 frequent (1803ms)"
L2-024,kdist_ultra_k14_count,"160,675",frequent itemsets K=14,deterministic,beyond_mining.log,24,"[per-K] K=14: 0 candidates -> 160,675 frequent (796ms)"
L2-025,kdist_ultra_k15_count,"56,221",frequent itemsets K=15,deterministic,beyond_mining.log,25,"[per-K] K=15: 0 candidates -> 56,221 frequent (277ms)"
L2-026,kdist_ultra_k16_count,"15,501",frequent itemsets K=16,deterministic,beyond_mining.log,26,"[per-K] K=16: 0 candidates -> 15,501 frequent (80ms)"
L2-027,kdist_ultra_k17_count,"3,236",frequent itemsets K=17,deterministic,beyond_mining.log,27,"[per-K] K=17: 0 candidates -> 3,236 frequent (26ms)"
L2-028,kdist_ultra_k18_count,480,frequent itemsets K=18,deterministic,beyond_mining.log,28,[per-K] K=18: 0 candidates -> 480 frequent (12ms)
L2-029,kdist_ultra_k19_count,45,frequent itemsets K=19,deterministic,beyond_mining.log,29,[per-K] K=19: 0 candidates -> 45 frequent (11ms)
