qkey,category,unit,description,claimed_value_tex,tex_lines,reproducibility
meta_log_file_provenance,software,mtime/size/commit,"Filesystem mtime, byte size and git-add commit of a surviving log/result file (whole-file rows L-001..L-014); mtime is the 2026-09-01 checkout time, not the original creation time.",log:mtime 2026-09-01 22:47 UTC; size 2194 B; git-added 6f789d8 2026-08-31 22:39:15 +0000 / mtime 2026-09-01 22:47 UTC; size 3192 B; git-added 6f789d8 2026-08-31 22:39:15 +0000 / mtime 2026-09-01 22:47 UTC; size 4634 B; git-added 6f789d8 2026-08-31 22:39:15 +0000 (follow-up note b1f147e) / mtime 2026-09-01 22:47 UTC; size 33942 B; git-added 6f789d8 2026-08-31 22:39:15 +0000 / mtime 2026-09-01 22:47 UTC; size 2194 B; git-added b1f147e 2026-09-01 20:11:16 +0000 / mtime 2026-09-01 22:47 UTC; size 1551 B; git-added b1f147e 2026-09-01 20:11:16 +0000 / mtime 2026-09-01 22:47 UTC; size 4375 B; git-added b1f147e 2026-09-01 20:11:16 +0000 / mtime 2026-09-01 22:47 UTC; size 18932 B; git-added b1f147e 2026-09-01 20:11:16 +0000 / mtime 2026-09-01 22:48 UTC; size 1110 B; git-added 65d9098 2026-08-31 21:46:33 +0200 (Et9797) / mtime 2026-09-01 22:48 UTC; size 4676 B; git-added 65d9098 2026-08-31 21:46:33 +0200 (Et9797) / mtime 2026-09-01 22:48 UTC; size 4749057 B; git-added 65d9098 2026-08-31 21:46:33 +0200 (Et9797) / mtime 2026-09-01 22:48 UTC; size 17193 B; git-added 65d9098 2026-08-31 21:46:33 +0200 (Et9797) / mtime 2026-09-01 22:48 UTC; size 111866 B; git-added 65d9098 2026-08-31 21:46:33 +0200 (Et9797) / mtime 2026-09-01 22:48 UTC; size 7790 B; git-added 65d9098 2026-08-31 21:46:33 +0200 (Et9797),bench/results/2026-08-31-3090x2/env.txt:(file);bench/results/2026-08-31-3090x2/report.md:(file);bench/results/2026-08-31-3090x2/FINDINGS.md:(file);bench/results/2026-08-31-3090x2/raw.jsonl:(file);bench/results/2026-09-01-3090x2-sparse/env.txt:(file);bench/results/2026-09-01-3090x2-sparse/report.md:(file);bench/results/2026-09-01-3090x2-sparse/FINDINGS.md:(file);bench/results/2026-09-01-3090x2-sparse/raw.jsonl:(file);applications/alphafold/results_214m/experiment_direct_vs_son_20260219_050326.json:(file);applications/alphafold/results_214m/experiment_null_model_20260219_061046.json:(file);applications/alphafold/results_214m/decoded_top_k_patterns.txt:(file);applications/alphafold/results_214m/GLOSSARY.md:(file);applications/alphafold/experiments/analysis_alpha_centauri.ipynb:(file);applications/alphafold/deploy/RUNBOOK_base214m.md:(file),setup
meta_log_bench_0831_git_sha,software,git sha,git HEAD recorded in env.txt of the 2026-08-31 2x RTX 3090 bench campaign (5a8e59f8...).,log:5a8e59f8493622f623eae97daed02d460ec80389,bench/results/2026-08-31-3090x2/env.txt:2,setup
meta_log_bench_0831_nvidia_smi_timestamp,hardware-dependent,timestamp,nvidia-smi banner timestamp of the 2026-08-31 bench env capture.,log:Mon Aug 31 20:52:51 2026,bench/results/2026-08-31-3090x2/env.txt:6,setup
sw_bench_driver_version,software,version,NVIDIA driver on the bench box per env.txt (580.159.03; the 2026-09-01 row also carries CUDA 13.0). Cf. the audit box driver 595.71.05 (sw_audit_box_driver_cuda).,log:580.159.03 / 580.159.03 / CUDA 13.0,bench/results/2026-08-31-3090x2/env.txt:8;bench/results/2026-09-01-3090x2-sparse/env.txt:8,setup
sw_bench_cuda_version,software,version,CUDA version reported by nvidia-smi on the bench box (13.0).,log:13.0,bench/results/2026-08-31-3090x2/env.txt:8,setup
hw_bench_gpu_model,hardware-dependent,GPU model,"GPUs of the synthetic bench campaigns: 2x NVIDIA GeForce RTX 3090 24 GB (sm_86) on vast.ai - NOT the paper's H100. FINDINGS headers (with campaign date / driver / CuPy) and the bench/README design target ('2x RTX 3090, 24 GB, CUDA 12') are keyed here too.","log:NVIDIA GeForce RTX 3090 (GPU 0, bus 01:00.0) / NVIDIA GeForce RTX 3090 (GPU 1, bus 82:00.0) / 2×RTX 3090; 2026-08-31 / 2× RTX 3090 24 GB (sm_86) / NVIDIA GeForce RTX 3090 (GPU 0) / NVIDIA GeForce RTX 3090 (GPU 1) / 2×RTX 3090; 2026-09-01 / 2× RTX 3090 24 GB, sm_86, driver 580.159.03, CuPy 14.1.1 / 2× RTX 3090, 24 GB, CUDA 12",bench/results/2026-08-31-3090x2/env.txt:14;bench/results/2026-08-31-3090x2/env.txt:18;bench/results/2026-08-31-3090x2/FINDINGS.md:1;bench/results/2026-08-31-3090x2/FINDINGS.md:4;bench/results/2026-09-01-3090x2-sparse/env.txt:14;bench/results/2026-09-01-3090x2-sparse/env.txt:18;bench/results/2026-09-01-3090x2-sparse/FINDINGS.md:1;bench/results/2026-09-01-3090x2-sparse/FINDINGS.md:4;bench/README.md:3,setup
hw_bench_gpu_vram_mib,hardware-dependent,MiB,VRAM per bench GPU as reported by nvidia-smi (24576 MiB).,log:24576,bench/results/2026-08-31-3090x2/env.txt:15;bench/results/2026-08-31-3090x2/env.txt:19;bench/results/2026-09-01-3090x2-sparse/env.txt:15,setup
hw_bench_gpu_power_cap_w,hardware-dependent,W,Power cap of bench GPU 0 per nvidia-smi (360 W).,log:360,bench/results/2026-08-31-3090x2/env.txt:15,setup
meta_log_bench_pip_freeze_empty,software,(none),The pip-freeze section of both bench env.txt files is empty: no package versions were captured.,log:(no output captured),bench/results/2026-08-31-3090x2/env.txt:32;bench/results/2026-09-01-3090x2-sparse/env.txt:32,setup
bench_campaign_0831_runs_status,deterministic,runs,Run status summary of the 2026-08-31 bench campaign (28 ok / 0 failed or timeout).,log:28 ok / 0 failed,bench/results/2026-08-31-3090x2/report.md:3,rerun
bench_deep_k_density_auto_wall_s,hardware-dependent,s,"Wall-clock seconds of bench run 'deepk-density-auto' (deep_k preset, legacy kernel, sparse_from_k=auto, 2 GPUs) on the 2x RTX 3090 box; raw.jsonl wall_s per rep and the report.md median/min over reps share this key (the 2026-08-31 and 2026-09-01 campaigns ran different commits, see the file column).",log:10.4 / 10.431 / 10.4 s vs 1.3 s / 1.34 s / 1.3 / 10.431 s → 1.343 s; legacy-2g 1.338 s; shared-2g 1.35 s; 1.00× / 1.343,bench/results/2026-08-31-3090x2/report.md:9;bench/results/2026-08-31-3090x2/report.md:37;bench/results/2026-08-31-3090x2/FINDINGS.md:57;bench/results/2026-08-31-3090x2/FINDINGS.md:67;bench/results/2026-09-01-3090x2-sparse/report.md:9;bench/results/2026-09-01-3090x2-sparse/FINDINGS.md:26;bench/results/2026-09-01-3090x2-sparse/FINDINGS.md:34;bench/results/2026-08-31-3090x2/raw.jsonl:7;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:2,hardware
