qkey,category,unit,description,claimed_value_tex,tex_lines,reproducibility
run_ultra_min_count_nominal,method-parameter,proteins,"Script-printed nominal minimum count of the Ultra run (beyond_mining.log 'Min proteins: ~15' / 'Min support count: 15 proteins' = floor(2e-7 x 76,890,945) = 15); the miner-applied threshold on the same log line block is run_ultra_min_count = 16.",log:~15 / 15,beyond_mining.log:3;beyond_mining.log:7,derived
run_ultra_max_length,method-parameter,K,Maximum itemset length configured for the Ultra run ('Max K: 25'; the run terminated naturally at K=20).,log:25,beyond_mining.log:4,setup
run_ultra_time_s,hardware-dependent,s,Wall-clock of the Ultra run in seconds as printed ('COMPLETE in 281.0s (4.7 min)'); = run_ultra_time_min x 60.,log:281.0,beyond_mining.log:32,hardware
run_ultra_bytes,software,bytes,"Size of the Ultra run's output parquet (/root/alphafold-data/full_214m/itemsets_214m_beyond.parquet, 49,989,864 bytes).","log:49,989,864",beyond_mining.log:57,rerun
run_blitz_support,method-parameter,fraction,Minimum support of the Blitz run as a fraction ('Support: 1e-06 (0.0001%)'); = run_blitz_support_pct / 100.,log:1e-06,direct_mining.log:3,setup
run_blitz_max_length,method-parameter,K,Maximum itemset length configured for the Blitz run ('Max K: 20'; the run terminated naturally at K=19).,log:20,direct_mining.log:4,setup
run_blitz_min_count_nominal,method-parameter,proteins,"Script-printed 'Min support count: 76 proteins' of the Blitz run (= floor(1e-6 x 76,890,945)); the miner-applied threshold is run_blitz_min_count = 77.",log:76,direct_mining.log:10,derived
run_blitz_load_time_s,hardware-dependent,s,Parquet load time of the Blitz run ('Load time: 0.5s').,log:0.5,direct_mining.log:11,hardware
run_blitz_time_s,hardware-dependent,s,Mining wall-clock of the Blitz run in seconds ('MINING COMPLETE in 119.3s (2.0 min)'); = run_blitz_time_min x 60.,log:119.3,direct_mining.log:37,hardware
run_blitz_total_time_s,hardware-dependent,s,Total wall-clock of the Blitz run including parquet load ('Total time: 120.6s (2.0 min)').,log:120.6,direct_mining.log:38,hardware
run_blitz_bytes,software,bytes,"Size of the Blitz run's output parquet (/root/alphafold-data/full_214m/itemsets_214m_direct.parquet, 12,177,502 bytes).","log:12,177,502",direct_mining.log:63,rerun
run_power_son_max_length,method-parameter,K,Maximum itemset length configured for the Power SON run (extreme_mining.log banner 'MAX LENGTH 20'; the run reached K=13).,log:20,extreme_mining.log:8,setup
run_opus_time_s,hardware-dependent,s,"Wall-clock of the Opus run in seconds ('26,849,505 itemsets in 440.5s'); = run_opus_time_min x 60.",log:440.5,godmode_mining.log:28,hardware
run_opus_bytes,software,bytes,"Size of the Opus run's output parquet ('Saved: 85,131,478 bytes'; path not printed).","log:85,131,478",godmode_mining.log:29,rerun
run_hmb_min_count,method-parameter,proteins,"Nominal minimum count of the holdmybeer run ('support = 4 proteins / 76.9M' and 'support=0.000000052 (~4 proteins)'); the miner-applied count is not printed (5.2e-8 x 76,890,945 = 3.998, 5.2e-8 x 205,620,298 = 10.69).",log:4 / ~4,holdmybeer.log:3;holdmybeer.log:8,derived
run_hmb_support_pct,method-parameter,%,Nominal support of the holdmybeer run in percent ('4 proteins / 76.9M = 0.000005%').,log:0.000005,holdmybeer.log:3,derived
run_hmb_target_k,method-parameter,K,Target itemset length announced by the holdmybeer run ('Target: K=23+'); K=21 was reached.,log:23+,holdmybeer.log:4,setup
run_hmb_support,method-parameter,fraction,Minimum support fraction passed to the miner by the holdmybeer run ('Mining at support=0.000000052').,log:0.000000052,holdmybeer.log:8,setup
run_hmb_itemsets,deterministic,itemsets,"Frequent itemsets found by the holdmybeer run (18,935,899).","log:18,935,899",holdmybeer.log:10;holdmybeer.log:40,rerun
run_hmb_time_s,hardware-dependent,s,"Wall-clock of the holdmybeer run ('18,935,899 itemsets in 573.1s').",log:573.1,holdmybeer.log:10,hardware
run_hmb_bytes,software,bytes,"Size of the holdmybeer run's output parquet ('Saved: 63,377,870 bytes'; path not printed).","log:63,377,870",holdmybeer.log:11,rerun
run_hmb_kmax,deterministic,K,Maximum itemset length reached by the holdmybeer run ('MAX K = 21').,log:21,holdmybeer.log:36,rerun
run_minc4_min_count,method-parameter,proteins,"Minimum count of the holdmybeer_real run ('min_count = 4 proteins (for real)', verified as ceil(1.9453e-08 x 205620298) = 4).",log:4,holdmybeer_real.log:3;holdmybeer_real.log:6,setup
run_minc4_support,method-parameter,fraction,"Minimum support fraction of the holdmybeer_real run (1.945333237480280e-08 = 4 / 205,620,298; denominator = dataset_plddt_pass, not dataset_multi_feature).",log:1.945333237480280e-08,holdmybeer_real.log:5,derived
run_minc4_itemsets,deterministic,itemsets,"Frequent itemsets found by the holdmybeer_real run (48,007,493).","log:48,007,493",holdmybeer_real.log:8;holdmybeer_real.log:70,rerun
run_minc4_time_s,hardware-dependent,s,"Wall-clock of the holdmybeer_real run ('48,007,493 itemsets in 1228.5s').",log:1228.5,holdmybeer_real.log:8,hardware
run_minc4_bytes,software,bytes,"Size of the holdmybeer_real run's output parquet ('Saved: 149,590,799 bytes'; path not printed).","log:149,590,799",holdmybeer_real.log:9,rerun
run_minc4_kmax,deterministic,K,Maximum itemset length reached by the holdmybeer_real run ('MAX K = 22').,log:22,holdmybeer_real.log:35,rerun
run_minc3_min_count,method-parameter,proteins,"Minimum count of the yolo run ('YOLO MODE - min_count = 3', verified as ceil(1.459e-08 x 205620298) = 3); the log contains no results.",log:3,yolo.log:2;yolo.log:6,setup
run_minc3_target_k,method-parameter,K,Target itemset length of the yolo run ('The DEFINITIVE answer to K=23').,log:23,yolo.log:3,setup
run_minc3_support,method-parameter,fraction,"Minimum support fraction of the yolo run (1.458999928110210e-08 = 3 / 205,620,298; denominator = dataset_plddt_pass).",log:1.458999928110210e-08,yolo.log:5,derived
run_madman_support_pct,method-parameter,%,"Support threshold of the aborted madman SON run (0.0001%, the Blitz threshold; madman_mining.log ends without results).",log:0.0001,madman_mining.log:1;madman_mining.log:6,setup
run_madman_min_count,method-parameter,proteins,"Script-printed minimum count of the madman run ('Min support = 0.0001% = 76 proteins' = floor(1e-6 x 76,890,945)).",log:76,madman_mining.log:4,derived
run_madman_max_length,method-parameter,K,Maximum itemset length configured for the madman run (banner 'MAX LENGTH 20').,log:20,madman_mining.log:7,setup
run_base_son_time_s,hardware-dependent,s,"Wall-clock of the Base SON run (pipeline_214m.log Step 3, 'Time: 113.9s'); = run_base_time_min x 60.",log:113.9,pipeline_214m.log:2297;watcher.log:2306,hardware
run_super_son_time_s,hardware-dependent,s,"Wall-clock of the Super SON run (ultra_mining.log, 'Time: 257.6s'); = run_super_time_min x 60.",log:257.6,ultra_mining.log:12,hardware
kdist_ultra_k1_count,deterministic,itemsets,Frequent itemsets of length K=1 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:1,002",beyond_mining.log:11;beyond_mining.log:36,rerun
kdist_ultra_k2_count,deterministic,itemsets,Frequent itemsets of length K=2 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:60,088",beyond_mining.log:12;beyond_mining.log:37,rerun
kdist_ultra_k3_count,deterministic,itemsets,Frequent itemsets of length K=3 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:356,691",beyond_mining.log:13;beyond_mining.log:38,rerun
kdist_ultra_k4_count,deterministic,itemsets,Frequent itemsets of length K=4 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:894,903",beyond_mining.log:14;beyond_mining.log:39,rerun
kdist_ultra_k5_count,deterministic,itemsets,Frequent itemsets of length K=5 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:1,421,780",beyond_mining.log:15;beyond_mining.log:40,rerun
kdist_ultra_k6_count,deterministic,itemsets,Frequent itemsets of length K=6 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:1,794,852",beyond_mining.log:16;beyond_mining.log:41,rerun
kdist_ultra_k7_count,deterministic,itemsets,Frequent itemsets of length K=7 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:2,006,312",beyond_mining.log:17;beyond_mining.log:42,rerun
kdist_ultra_k8_count,deterministic,itemsets,Frequent itemsets of length K=8 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:2,053,858",beyond_mining.log:18;beyond_mining.log:43,rerun
kdist_ultra_k9_count,deterministic,itemsets,Frequent itemsets of length K=9 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:1,912,672",beyond_mining.log:19;beyond_mining.log:44,rerun
kdist_ultra_k10_count,deterministic,itemsets,Frequent itemsets of length K=10 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:1,587,145",beyond_mining.log:20;beyond_mining.log:45,rerun
kdist_ultra_k11_count,deterministic,itemsets,Frequent itemsets of length K=11 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:1,148,998",beyond_mining.log:21;beyond_mining.log:46,rerun
kdist_ultra_k12_count,deterministic,itemsets,Frequent itemsets of length K=12 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:712,433",beyond_mining.log:22;beyond_mining.log:47,rerun
kdist_ultra_k13_count,deterministic,itemsets,Frequent itemsets of length K=13 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:371,981",beyond_mining.log:23;beyond_mining.log:48,rerun
kdist_ultra_k14_count,deterministic,itemsets,Frequent itemsets of length K=14 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:160,675",beyond_mining.log:24;beyond_mining.log:49,rerun
kdist_ultra_k15_count,deterministic,itemsets,Frequent itemsets of length K=15 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:56,221",beyond_mining.log:25;beyond_mining.log:50,rerun
kdist_ultra_k16_count,deterministic,itemsets,Frequent itemsets of length K=16 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:15,501",beyond_mining.log:26;beyond_mining.log:51,rerun
kdist_ultra_k17_count,deterministic,itemsets,Frequent itemsets of length K=17 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,"log:3,236",beyond_mining.log:27;beyond_mining.log:52,rerun
kdist_ultra_k18_count,deterministic,itemsets,Frequent itemsets of length K=18 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,log:480,beyond_mining.log:28;beyond_mining.log:53,rerun
kdist_ultra_k19_count,deterministic,itemsets,Frequent itemsets of length K=19 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,log:45,beyond_mining.log:29;beyond_mining.log:54,rerun
kdist_ultra_k20_count,deterministic,itemsets,Frequent itemsets of length K=20 in the Ultra run (beyond_mining.log per-K line and K-distribution block).,log:2,beyond_mining.log:30;beyond_mining.log:55,rerun
kdist_blitz_k1_count,deterministic,itemsets,Frequent itemsets of length K=1 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:1,002",direct_mining.log:17;direct_mining.log:42,rerun
kdist_blitz_k2_count,deterministic,itemsets,Frequent itemsets of length K=2 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:39,125",direct_mining.log:18;direct_mining.log:43,rerun
kdist_blitz_k3_count,deterministic,itemsets,Frequent itemsets of length K=3 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:184,900",direct_mining.log:19;direct_mining.log:44,rerun
kdist_blitz_k4_count,deterministic,itemsets,Frequent itemsets of length K=4 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:361,696",direct_mining.log:20;direct_mining.log:45,rerun
kdist_blitz_k5_count,deterministic,itemsets,Frequent itemsets of length K=5 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:445,661",direct_mining.log:21;direct_mining.log:46,rerun
kdist_blitz_k6_count,deterministic,itemsets,Frequent itemsets of length K=6 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:439,605",direct_mining.log:22;direct_mining.log:47,rerun
kdist_blitz_k7_count,deterministic,itemsets,Frequent itemsets of length K=7 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:387,030",direct_mining.log:23;direct_mining.log:48,rerun
kdist_blitz_k8_count,deterministic,itemsets,Frequent itemsets of length K=8 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:318,349",direct_mining.log:24;direct_mining.log:49,rerun
