qkey,category,unit,description,claimed_value_tex,tex_lines,reproducibility
run_opus_support,method-parameter,fraction,"Minimum support of the Opus run as a fraction (8 / 76,890,945 = 1.04e-07 per the godmode log); = run_opus_min_count / dataset_multi_feature = run_opus_support_pct / 100.",review:1.04e-07 (~0.00001%),review_b2_results.md:24;review_b2_results.md:87,derived
run_power_support,method-parameter,fraction,Minimum support fraction of the two 0.001% experiments (direct-vs-SON and null-model JSON 'parameters.min_support' = 1e-05); = run_power_support_pct / 100 = null_support_pct / 100.,review:1e-05 (0.001%),review_b2_results.md:32;review_b2_results.md:40;review_b2_results.md:131,setup
null_vs_opus_min_count_ratio,deterministic,x,null_min_count / run_opus_min_count (769 / 8 = 96x): how much stricter the null-model threshold is than the main (Opus) run's.,review:96×,review_b2_results.md:44,derived
null_shuffle_dedup_pct,deterministic,%,"Share of proteins carrying duplicate items after the null-model feature-column shuffle that must be de-duplicated ('Dedup affected 20.45%', PROJECT_STATE.md only; describes the null shuffle, not the source-data split).",review:20.45% / ~20.45%,review_b2_results.md:67;review_b2_results.md:75;review_b2_results.md:289;review_b2_results.md:69,rerun
k22_item_ids,deterministic,item ids,"Integer item IDs of the single K=22 itemset in the Opus parquet ([1, 13, 23, 507, 509, 510, 513, 519, 529, 533, 569, 632, 651, 677, 766, 784, 795, 850, 887, 917, 965, 966]); their decode is k22_feature_1..22.","review:[1, 13, 23, 507, 509, 510, 513, 519, 529, 533, 569, 632, 651, 677, 766, 784, 795, 850, 887, 917, 965, 966]",review_b2_results.md:86,rerun
k22_support_frac,deterministic,fraction,"Support of the K=22 itemset as a fraction (1.04e-07 = k22_support / dataset_multi_feature = 8 / 76,890,945); numerically equal to run_opus_support.",review:1.04e-07,review_b2_results.md:87,derived
son_missed_itemsets,deterministic,itemsets,"Itemsets missed by Streaming SON at 0.001% = run_power_direct_itemsets - run_power_son_itemsets (475,865 - 22,846 = 453,019; JSON comparison.itemset_diff).","review:453,019",review_b2_results.md:134,derived
null_perm1_k6_count,deterministic,itemsets,"Null-model itemsets at K=6 in permutation 1 of 5 (per-run values of the null-model JSON; their mean is null_k6_mean = 22, max null_k6_max = 23).",review:20,review_b2_results.md:146,rerun
null_perm2_k6_count,deterministic,itemsets,"Null-model itemsets at K=6 in permutation 2 of 5 (per-run values of the null-model JSON; their mean is null_k6_mean = 22, max null_k6_max = 23).",review:22,review_b2_results.md:147,rerun
null_perm3_k6_count,deterministic,itemsets,"Null-model itemsets at K=6 in permutation 3 of 5 (per-run values of the null-model JSON; their mean is null_k6_mean = 22, max null_k6_max = 23).",review:23,review_b2_results.md:148,rerun
