protein_id	n_features	GO:0005524	GO:0005737	GO:0005829	GO:0005634	GO:0016787	GO:0000287	GO:0005739	GO:0000978	GO:0030154	GO:0003697	GO:0003724	GO:0045087	GO:0030424	GO:0030425	GO:0051607	GO:0003725	GO:0034605	GO:0016607	GO:0003678
H2QNM0	22																			
F6Q4S1	22																			
G3SKQ4	22																			
A0A1D5PHB6	22																			
F6U0V1	22																			
A0A5F8HEV5	22																			
M3VK01	22																			
F7EPL6	22																			
