uniprotAccession,globalMetricValue
D0KSZ6,87.06
A0A101E1K9,91.25
A0A124G4U5,91.56
A0A101GR72,95.25
A0A124FBK8,79.44
A0A558FYG2,53.56
A0A124FRV0,85.0
D0KN72,96.0
A0A510N741,96.88
A0A124F7R9,88.31
D0V1C0,68.5
A0A101DES8,90.31
D0KR22,97.44
D0KPU0,90.81
A0A101ILB0,93.25
A0A101IKS8,89.62
A0A124G4B4,85.88
A0A558G9E6,93.12
D0KR45,94.25
I7CXT3,78.81
I6SP96,72.62
D0G730,68.69
W0G9A5,75.38
A0A1H6CMD3,77.38
A0A1H5YG81,90.0
D0KUN4,79.88
D0KSS0,85.81
A0A124FC03,84.12
A0A101ISE1,78.62
A0A0Y0D183,97.94
D0KUY7,91.38
A0A558GDF7,96.06
I6T8K5,73.69
A0A117KLL6,95.06
D0KMU8,92.19
B3GBP5,63.66
D0KT43,93.19
A0A0X3BMD7,77.25
A0A0X8XIW3,98.25
A2TIH4,97.31
A0A124FMK5,92.56
A0A124FBP7,93.31
A0A101E1E0,60.94
G8IHU9,73.25
A0A101FVK5,91.19
D0KUN0,90.75
A0A101IJ73,91.44
A0A101FTQ6,91.06
D0KTQ1,86.75
A0A558G8T7,95.62
A0A0Y0AUM8,97.94
D0KSG1,91.81
A0A0Y0B9N3,97.38
D0KPW8,96.81
A0A558GES4,78.44
A0A558GAV9,92.0
A0A101FSW9,70.62
A0A124G590,95.31
A0A088E9M7,92.06
D0KNT3,96.69
A0A558GAY2,76.0
A0A124FBH4,92.06
D0KNT1,63.38
A0A101DBR5,81.06
A0A558G832,87.88
A0A510N4I9,96.5
A0A7J2U3A1,92.81
A0A7J2TJR7,95.69
A0A7J9PB77,95.56
A0A7J4JJD5,77.44
Q1HAR0,98.44
A0A7J3G5R4,94.81
A0A1D8S1P2,88.12
A0A7J3UYI2,84.94
A0A7J2TK36,91.75
A0A7J9PMK2,76.88
A0A7J3M2E6,97.38
W0JL10,82.88
A0A7J9NS45,94.44
M9WIN1,94.69
A0A7J3SJC9,78.62
A0A7J3ZMA3,91.12
A0A7J3Z6B5,95.0
A0A1I0I4I5,93.0
A0A7J3JSJ3,90.69
A0A7J3I7N7,94.06
A0A7J3KF98,89.81
A0A7J3VSE2,95.94
A0A7J3X943,87.44
A0A7J2U3V4,81.38
A0A7J4IT96,92.12
A0A7J3ZJL1,90.69
A0A7J3JR91,55.16
A0A7J3QDJ2,88.19
A0A7J9NXK7,81.75
A0A7J3VTN1,89.25
A0A1G6RHS0,96.12
A0A7J9NYQ4,88.69
A0A7J4JEA4,73.81
A0A7J4JGS6,88.0
A0A1G6NIY0,87.88
A0A7J3ZJG0,96.25
A0A7J3I9J6,88.69
A0A7J3M244,89.62
A0A523BBS1,94.25
A0A090I5A2,93.19
A0A7J3VT25,69.88
A0A1D9C825,95.44
A0A7J2T9U7,67.75
A0A7J3I9Q7,89.31
A0A7J3G7D1,62.09
A0A7J3MZF9,85.5
A0A088E7B5,79.88
A0A7J4JWW9,79.44
A0A7J3V095,82.31
A0A510N6N3,91.06
V9QGI7,97.12
A0A1G6PD97,93.12
A0A1I6YKB5,93.69
A0A7J3QFH6,87.56
A0A520KE49,95.5
A0A558GAK0,92.25
A2TI24,98.44
C0LKU3,97.75
A0A7J3SKN2,91.75
A0A7J3UZJ3,90.19
A0A558GCX7,92.44
A0A523B9U8,94.75
A0A510N9X2,83.31
C0LL09,97.75
A0A7J3X5P0,93.69
A0A7J2TGF5,93.44
A0A120N2X2,97.56
A0A523B9P3,71.19
A0A090IAI0,80.0
A0A088MTA6,74.06
A0A1I0H1F7,90.56
A0A7J3SMC4,84.88
A0A7J3Y1G5,95.81
Q1HDD8,72.31
D0KTH2,89.31
A0A120HVE8,97.31
A0A1Y0AVK0,65.06
D0KU95,92.56
A0A101E1A0,88.69
A0A510N8A6,87.31
A0A510N8W1,95.56
A0A090JVX2,94.75
A0A7J3XZR8,90.38
A0A510N447,93.62
A0A1I0GBB6,91.88
A0A7J3ZJC8,50.88
A0A090JX92,93.88
A0A101DZU9,81.94
A0A558GCN2,89.69
A0A510N483,92.31
A0A7J3VT88,72.94
A0A510NAV9,82.44
D0KUG2,91.44
D0KR26,87.81
A0A124G5Q2,94.12
A0A7J3SKM6,88.38
A0A7J3LZZ4,96.19
A0A7J3YUD4,93.88
A0A2P1C856,75.62
G9CSW8,70.19
A0A7J3SMR1,35.72
A0A7J2TB13,91.38
A0A7J2U5F7,96.38
A0A7J3KHL6,56.03
A0A1I6Z7U7,84.0
A0A7J3X6S0,92.56
A0A1H6CM08,89.5
A0A088E3X5,89.38
A0A7J3X8Z8,94.0
A0A7J2U613,89.75
A0A7J3JSL3,92.75
A0A1H5U572,90.94
A0A510N8B5,88.69
A0A510N8J0,87.0
Q3SA97,47.91
W0FV13,97.56
A0A1I6ZJ01,75.5
A0A7J3MXU7,73.94
A0A7J2TKL5,67.06
A0A1H5YEJ8,54.75
A0A1G6K0G1,86.56
A0A1I0IJY0,72.62
A0A7J3SKA4,90.06
A0A7J3SLC3,96.25
A0A7J3Z6E8,95.44
A0A7J3Y091,92.25
A0A1H5VN02,84.12
A0A523BFP5,95.25
A0A7J3ZIT4,91.06
A0A7J2THM5,96.19
A0A1H9ZZM5,92.62
A0A1I6Z2S6,82.25
A0A510N4V7,82.0
A0A510N4W7,92.19
A0A7J3YTR3,61.97
A0A7J3XXC4,88.88
A0A7J3KF91,89.81
A0A1G6L254,95.12
A0A1D8S1L4,96.06
A0A7J2TIW9,90.75
A0A5B9DF27,87.5
A0A1G6IDC1,85.5
A0A1I0GSD8,88.0
A0A1I6Z6R8,81.06
A0A1I7A4D7,82.0
A0A7J2U224,96.44
A0A7J3M3W2,78.31
A0A7J3SM30,95.38
A0A150JEU2,72.12
B3TAN3,88.69
A0A7J2TIQ6,96.5
A0A7J2TGW8,95.94
A0A1I6X1U2,84.75
A0A7J3M284,94.5
K0A1E9,72.25
D2J1R0,70.38
A0A0K0MRP0,70.69
B3V576,76.56
A0A1G6YTK4,83.25
A0A7J3Z8J7,82.88
A0A7J3QD01,61.47
A0A7J3KG32,94.25
A0A7J3X5C3,90.88
A0A7J2U5L4,89.56
A0A7J3M2T3,91.5
A0A7J3X5K7,86.0
A0A7J3QEL2,81.44
A0A096ZL51,68.75
A0A5B9DG06,47.94
A0A6M8PCD7,72.88
Q3I2R7,69.5
D9YJU9,76.19
A0A7J2U620,90.38
A0A7J2U200,96.94
A0A7J3MZZ7,94.5
A0A7J3Z557,96.94
A0A7J3QDA9,89.56
A0A7J3PM39,92.38
Q703X2,95.56
A0A0K0NTZ0,97.31
D8JA57,92.38
A0A7J3SK96,75.44
A0A7J3MYZ1,96.25
A0A157T2G8,83.69
A0A7J4IUY1,91.38
A0A7J4IXF8,70.75
A0A7J3UZA0,94.06
D8JBZ8,85.19
D8J9G9,90.75
D8J671,97.06
A0A7J3SLB3,78.25
A0A7J3M5U1,91.19
A0A146L118,74.44
A0A1H5U7N1,76.5
D8J3D6,72.88
D8JD92,29.81
B3V6A3,90.19
D9ZB66,72.19
B3UYJ0,75.88
D8JAM5,95.12
A0A7J9NHE3,80.56
G9BAT5,57.47
D8J7P7,87.81
B3V5U4,92.5
A0A2R2Y7G2,65.75
D8J7G0,97.19
B3VKB4,97.5
A0A0E3K750,89.12
B3UYX2,74.88
B3TAT6,89.81
D8J8R9,89.25
D8J8X9,79.75
D8J7Q3,93.94
A0A0G2RG51,97.88
A0A7J3UYH6,91.69
A0A1H5X7K3,90.38
A0A3N6LQW7,77.12
A0A1H6CAE3,74.75
A0A1H5UQT2,85.38
G9CT37,73.31
D8JCE2,93.38
D8JA24,86.56
